Name,Rating,Cuisine,Discounts,Image URL,Link
Musfiyrah Food Corner,4.8(27)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/fyy4/musfiyrah-food-corner
Nice Bakers & Sweets,4.9(4000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Cakes & Bakery,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/hxig/nice-bakers-and-sweets
Bite My Kitchen,4.4(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,"Up to 10% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/sqay/bite-my-kitchen
Al-Rozi Pakwan,4.4(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/h4bt/al-rozi-pakwan
Tadka House,4.9(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,15% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/upm7/tadka-house
Zam Bakes,3.9(67)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Continental,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/hyv0/zam-bakes
Peshawari Ice Cream (North Karachi),4.5(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Desserts,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/xmb4/peshawari-ice-cream-north-karachi
Al Madina Burger,4.9(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Burgers,,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/v3le/al-madina-burger
Desi Tarka,4.1(29)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/thlo/desi-tarka-thlo
HAJI AKHTAR PAKWAN & RESTAURANT,4.7(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,Up to 10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/t1tv/haji-akhtar-pakwan-and-restaurant
AL MADINA FAST FOOD BBQ AND PIZZA - Nagin Chorangi,4.9(5000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/u594/al-madina-fast-food-bbq-and-pizza-nagin-chorangi
Wokout - Nagan Chowrangi,4.7(1000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,Up to 20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/ee7q/wokout-nagan-chowrangi
Karachi Spicy Roll Corner - Bufferzone,4.8(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,Up to 25% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/jlip/karachi-spicy-roll-corner-bufferzone
MASTER PAKWAN AND FOOD CENTRE (New Karachi),4.4(3000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,15% off Rs.199,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/vo8l/master-pakwan-and-food-centre-new-karachi
Mirha Spice and Taste,4.7(100+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,,"Up to 10% off, Free Delivery",https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/n7q4/mirha-spice-and-taste
Zam Zam Peyala - Branch 5,4.8(500+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Pakistani,10% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/m8i5/zam-zam-peyala-branch-5-m8i5
Al Madina Fast Food - Nagin Chowrangi,4.8(15000+)A11Y_TAG_RATING_AND_REVIEWS_PLURAL,Fast Food,20% off,https://micro-assets.foodora.com/img/logo-placeholder-fp.svg,https://www.foodpanda.pk/restaurant/s8ta/al-madina-fast-food-nagin-chowrangi
